Date,Type,Route Name,Distance (km),Duration,Average Pace,Average Speed (km/h),Calories Burned,Climb (m),Average Heart Rate (bpm),Notes,GPX File
2018-04-07 09:21:31,Running,,3.65,18:14,5:00,12.00,315.0,2,,,2018-04-07-0921.gpx
2018-04-06 07:30:17,Running,,2.66,13:57,5:15,11.43,229.0,2,,,2018-04-06-0730.gpx
2018-04-05 18:12:03,Running,,5.68,30:00,5:17,11.35,491.0,5,,,2018-04-05-1812.gpx
2018-04-04 07:53:16,Running,,5.37,27:36,5:09,11.66,464.0,4,,,2018-04-04-0753.gpx
2018-04-03 09:02:23,Running,,5.61,28:27,5:04,11.83,483.0,1,,,2018-04-03-0902.gpx
2018-04-02 07:31:05,Running,,4.16,22:50,5:29,10.93,357.0,0,,,2018-04-02-0731.gpx
2018-04-01 19:24:55,Running,,2.85,18:09,6:23,9.41,244.0,2,,,2018-04-01-1924.gpx
2018-03-31 18:12:44,Running,,2.37,13:49,5:50,10.27,199.0,0,,,2018-03-31-1812.gpx
2018-03-30 13:14:22,Running,,2.72,15:08,5:34,10.78,233.0,0,,,2018-03-30-1314.gpx
2018-03-30 12:10:49,Running,,3.08,16:01,5:12,11.53,265.0,2,,,2018-03-30-1210.gpx
2018-03-29 11:06:53,Running,,7.00,36:25,5:12,11.54,604.0,5,,"",2018-03-29-1106.gpx
2018-03-28 17:04:03,Running,,5.53,28:22,5:08,11.70,482.0,26,,,2018-03-28-1704.gpx
2018-03-27 18:20:04,Running,,2.80,15:54,5:40,10.58,240.0,1,,,2018-03-27-1820.gpx
2018-03-26 17:50:54,Running,,3.65,48:28,13:17,4.52,316.0,0,,,2018-03-26-1750.gpx
2018-03-25 10:46:22,Running,,2.41,13:48,5:43,10.49,199.0,0,,,2018-03-25-1046.gpx
2018-03-25 09:24:05,Running,,3.07,16:52,5:30,10.92,264.0,2,,,2018-03-25-0924.gpx
2018-03-24 09:57:54,Running,,3.01,16:12,5:23,11.14,259.0,2,,,2018-03-24-0957.gpx
2018-03-23 11:44:02,Running,,3.07,16:41,5:26,11.03,263.0,0,,,2018-03-23-1144.gpx
2018-03-23 10:39:20,Running,,3.05,16:48,5:30,10.91,264.0,2,,,2018-03-23-1039.gpx
2018-03-22 18:47:26,Running,,2.25,18:37,8:16,7.25,193.0,0,,,2018-03-22-1847.gpx
2018-03-21 08:10:50,Running,,4.74,25:36,5:24,11.11,408.0,3,,,2018-03-21-0810.gpx
2018-03-20 08:37:00,Running,,6.20,32:13,5:12,11.55,538.0,2,,"",2018-03-20-0837.gpx
2018-03-19 06:48:29,Running,,2.62,14:08,5:24,11.12,226.0,1,,,2018-03-19-0648.gpx
2018-03-18 18:09:08,Running,,5.01,23:01,4:36,13.05,432.0,0,,,2018-03-18-1809.gpx
2018-03-17 21:33:39,Running,,2.24,12:09,5:26,11.05,193.0,1,,,2018-03-17-2133.gpx
2018-03-16 18:23:53,Running,,5.22,27:17,5:14,11.48,450.0,1,,,2018-03-16-1823.gpx
2018-03-15 07:43:12,Running,,3.69,19:36,5:19,11.29,314.0,0,,,2018-03-15-0743.gpx
2018-03-14 08:02:05,Running,,2.11,11:01,5:14,11.46,182.0,0,,,2018-03-14-0802.gpx
2018-03-13 19:12:23,Running,,5.04,25:11,5:00,12.02,433.0,0,,,2018-03-13-1912.gpx
2018-03-12 18:18:24,Running,,3.83,18:48,4:55,12.22,327.0,0,,,2018-03-12-1818.gpx
2018-03-11 13:28:39,Running,,7.01,43:57,6:16,9.57,608.0,2,,,2018-03-11-1328.gpx
2018-03-10 14:46:39,Running,,6.97,32:45,4:42,12.77,600.0,0,,,2018-03-10-1446.gpx
2018-03-09 07:19:23,Running,,3.21,17:26,5:26,11.05,275.0,0,,,2018-03-09-0719.gpx
2018-03-08 08:22:19,Running,,3.17,16:34,5:14,11.47,273.0,0,,,2018-03-08-0822.gpx
2018-03-07 08:16:18,Running,,3.03,16:40,5:30,10.90,260.0,0,,,2018-03-07-0816.gpx
2018-03-07 07:02:32,Running,,3.20,16:46,5:14,11.45,276.0,2,,,2018-03-07-0702.gpx
2018-03-06 09:13:09,Running,,3.02,16:32,5:28,10.96,259.0,0,,,2018-03-06-0913.gpx
2018-03-06 08:17:29,Running,,2.91,15:11,5:14,11.48,251.0,2,,,2018-03-06-0817.gpx
2018-03-05 07:27:54,Running,,5.26,28:39,5:27,11.02,450.0,5,,,2018-03-05-0727.gpx
2018-03-04 08:45:08,Running,,3.24,16:31,5:06,11.77,278.0,1,,,2018-03-04-0845.gpx
2018-03-03 10:15:02,Running,,2.86,15:33,5:27,11.02,246.0,0,,,2018-03-03-1015.gpx
2018-03-02 09:36:52,Running,,3.00,16:29,5:29,10.93,258.0,0,,,2018-03-02-0936.gpx
2018-03-02 07:48:42,Running,,3.07,18:28,6:01,9.98,265.0,2,,,2018-03-02-0748.gpx
2018-03-01 17:45:52,Running,,2.67,11:51,4:26,13.53,228.0,0,,,2018-03-01-1745.gpx
2018-02-28 17:29:24,Running,,3.22,16:47,5:13,11.52,278.0,1,,,2018-02-28-1729.gpx
2018-02-27 17:08:13,Running,,5.84,35:38,6:06,9.84,496.0,4,,,2018-02-27-1708.gpx
2018-02-26 07:52:58,Running,,2.28,12:32,5:30,10.91,196.0,0,,,2018-02-26-0752.gpx
2018-02-25 16:37:12,Running,,5.75,28:19,4:55,12.19,495.0,2,,,2018-02-25-1637.gpx
